Country Code;Indicator Name;Indicator Code;2019
HTI;GDP (current US$);NY.GDP.MKTP.CD;14332163266
HUN;GDP (current US$);NY.GDP.MKTP.CD;1.63E+11
IBD;GDP (current US$);NY.GDP.MKTP.CD;3.16E+13
IBT;GDP (current US$);NY.GDP.MKTP.CD;3.39E+13
IDA;GDP (current US$);NY.GDP.MKTP.CD;2.32E+12
IDB;GDP (current US$);NY.GDP.MKTP.CD;9.92E+11
IDN;GDP (current US$);NY.GDP.MKTP.CD;1.12E+12
IDX;GDP (current US$);NY.GDP.MKTP.CD;1.33E+12
IMN;GDP (current US$);NY.GDP.MKTP.CD;
IND;GDP (current US$);NY.GDP.MKTP.CD;2.87E+12
INX;GDP (current US$);NY.GDP.MKTP.CD;
IRL;GDP (current US$);NY.GDP.MKTP.CD;3.89E+11
IRN;GDP (current US$);NY.GDP.MKTP.CD;
IRQ;GDP (current US$);NY.GDP.MKTP.CD;2.34E+11
ISL;GDP (current US$);NY.GDP.MKTP.CD;24188038474
ISR;GDP (current US$);NY.GDP.MKTP.CD;3.95E+11
ITA;GDP (current US$);NY.GDP.MKTP.CD;2.00E+12
JAM;GDP (current US$);NY.GDP.MKTP.CD;16458071068
JOR;GDP (current US$);NY.GDP.MKTP.CD;44502895862
JPN;GDP (current US$);NY.GDP.MKTP.CD;5.08E+12
KAZ;GDP (current US$);NY.GDP.MKTP.CD;1.82E+11
KEN;GDP (current US$);NY.GDP.MKTP.CD;95503088538
KGZ;GDP (current US$);NY.GDP.MKTP.CD;8454619608
KHM;GDP (current US$);NY.GDP.MKTP.CD;27089389787
KIR;GDP (current US$);NY.GDP.MKTP.CD;194647201.9
KNA;GDP (current US$);NY.GDP.MKTP.CD;1053244444
KOR;GDP (current US$);NY.GDP.MKTP.CD;1.65E+12
KWT;GDP (current US$);NY.GDP.MKTP.CD;1.35E+11
LAC;GDP (current US$);NY.GDP.MKTP.CD;5.15E+12
LAO;GDP (current US$);NY.GDP.MKTP.CD;18173839147
LBN;GDP (current US$);NY.GDP.MKTP.CD;51991634492
LBR;GDP (current US$);NY.GDP.MKTP.CD;3070518100
LBY;GDP (current US$);NY.GDP.MKTP.CD;52091152228
LCA;GDP (current US$);NY.GDP.MKTP.CD;2122450630
LCN;GDP (current US$);NY.GDP.MKTP.CD;5.73E+12
LDC;GDP (current US$);NY.GDP.MKTP.CD;1.12E+12
LIC;GDP (current US$);NY.GDP.MKTP.CD;5.42E+11
LIE;GDP (current US$);NY.GDP.MKTP.CD;
LKA;GDP (current US$);NY.GDP.MKTP.CD;84008783756
LMC;GDP (current US$);NY.GDP.MKTP.CD;6.33E+12
LMY;GDP (current US$);NY.GDP.MKTP.CD;3.27E+13
LSO;GDP (current US$);NY.GDP.MKTP.CD;2376328637
LTE;GDP (current US$);NY.GDP.MKTP.CD;2.30E+13
LTU;GDP (current US$);NY.GDP.MKTP.CD;54627411860
LUX;GDP (current US$);NY.GDP.MKTP.CD;71104919108
LVA;GDP (current US$);NY.GDP.MKTP.CD;34102913582
MAC;GDP (current US$);NY.GDP.MKTP.CD;53859116536
MAF;GDP (current US$);NY.GDP.MKTP.CD;
MAR;GDP (current US$);NY.GDP.MKTP.CD;1.20E+11
MCO;GDP (current US$);NY.GDP.MKTP.CD;
MDA;GDP (current US$);NY.GDP.MKTP.CD;11968713370
MDG;GDP (current US$);NY.GDP.MKTP.CD;14114631281
MDV;GDP (current US$);NY.GDP.MKTP.CD;5642179170
MEA;GDP (current US$);NY.GDP.MKTP.CD;3.65E+12
MEX;GDP (current US$);NY.GDP.MKTP.CD;1.27E+12
MHL;GDP (current US$);NY.GDP.MKTP.CD;
MIC;GDP (current US$);NY.GDP.MKTP.CD;3.22E+13
MKD;GDP (current US$);NY.GDP.MKTP.CD;12547040499
MLI;GDP (current US$);NY.GDP.MKTP.CD;17279566719
MLT;GDP (current US$);NY.GDP.MKTP.CD;14989415684
MMR;GDP (current US$);NY.GDP.MKTP.CD;76085852617
MNA;GDP (current US$);NY.GDP.MKTP.CD;
MNE;GDP (current US$);NY.GDP.MKTP.CD;5542577965
MNG;GDP (current US$);NY.GDP.MKTP.CD;13996719329
MNP;GDP (current US$);NY.GDP.MKTP.CD;
MOZ;GDP (current US$);NY.GDP.MKTP.CD;15291448212
MRT;GDP (current US$);NY.GDP.MKTP.CD;7600656944
MUS;GDP (current US$);NY.GDP.MKTP.CD;14048430519
MWI;GDP (current US$);NY.GDP.MKTP.CD;7666704427
MYS;GDP (current US$);NY.GDP.MKTP.CD;3.65E+11
NAC;GDP (current US$);NY.GDP.MKTP.CD;2.32E+13
NAM;GDP (current US$);NY.GDP.MKTP.CD;12366528259
NCL;GDP (current US$);NY.GDP.MKTP.CD;
NER;GDP (current US$);NY.GDP.MKTP.CD;12911689659
NGA;GDP (current US$);NY.GDP.MKTP.CD;4.48E+11
NIC;GDP (current US$);NY.GDP.MKTP.CD;12520915291
NLD;GDP (current US$);NY.GDP.MKTP.CD;9.07E+11
NOR;GDP (current US$);NY.GDP.MKTP.CD;4.03E+11
